step,train_loss,train_acc,test_loss,test_acc,elapsed_s
1,4.8888478267162965,0.010181704260651629,4.9352057100742615,0.007361002349256069,0.41925835609436035
200,0.04758361051965477,1.0,1.469896618089549,0.5887235708692248,2.539827823638916
400,0.0024077270493929027,1.0,0.7486123903150566,0.7934220830070478,4.766782283782959
600,0.0010987933915351192,1.0,0.6010749816707829,0.8422866092404072,6.991382598876953
800,0.0006503289061269365,1.0,0.5106509791143069,0.8687548942834769,9.122125148773193
1000,0.00043568116743152583,1.0,0.4482742226347852,0.888175411119812,11.342538595199585
1200,0.0003141022055645597,1.0,0.4006714115547966,0.9018010963194988,13.563060522079468
1400,0.00023772713573174528,1.0,0.3626081185128041,0.9093187157400157,15.691753149032593
1600,0.00018623217899920675,1.0,0.3312043040500737,0.9190289741581832,17.917803525924683
1800,0.00014966831011242493,1.0,0.3047049787656908,0.9263899765074393,20.142547607421875
2000,0.0001226624963260349,1.0,0.2815280644662136,0.9334377447141738,22.275217056274414
2200,0.00010209950887018063,1.0,0.26133488443276803,0.9401722787783868,24.500335216522217
2400,8.603253973388862e-05,1.0,0.24349620550894233,0.9454972592012529,26.724725246429443
2600,7.323824264719512e-05,1.0,0.2274665546398566,0.948159749412686,28.857839584350586
2800,6.286552886188002e-05,1.0,0.21292277623548486,0.9516053249804228,31.0826735496521
3000,5.433884077153418e-05,1.0,0.199472654514604,0.9558339859044636,33.30604910850525
3200,4.7245604490623795e-05,1.0,0.18725450879536107,0.9584964761158966,35.43653917312622
3400,4.12802639908833e-05,1.0,0.17606635755081146,0.961628817541112,37.660672187805176
3600,3.6221968966993134e-05,1.0,0.16582766776450836,0.9647611589663273,39.88169813156128
3800,3.189442911131931e-05,1.0,0.15625475605391112,0.9678935003915426,42.01095628738403
4000,2.816960115072797e-05,1.0,0.14730032462343726,0.9696162881754111,44.233625650405884
4200,2.4945240087467562e-05,1.0,0.13896661846312863,0.9721221613155834,46.45401668548584
4400,2.21418053899611e-05,1.0,0.13113250304524005,0.9729052466718873,48.583242416381836
4600,1.9691816745498065e-05,1.0,0.1239626499795783,0.9743148003132341,50.80570936203003
4800,1.753812065451023e-05,1.0,0.11698963567556211,0.9761942051683633,53.027913331985474
5000,1.5646212246555796e-05,1.0,0.11067628762104965,0.9774471417384495,55.16002869606018
5200,1.3976526001567064e-05,1.0,0.10445111485996,0.9782302270947534,57.384557008743286
5400,1.2498905539302854e-05,1.0,0.09878723853579142,0.9796397807361003,59.608686208724976
5600,1.1185978750527876e-05,1.0,0.09337169403733923,0.9816758026624902,61.741535902023315
5800,1.0021123605218504e-05,1.0,0.08834458293981075,0.9821456538762725,63.96796369552612
6000,8.982367269841565e-06,1.0,0.08355687995183814,0.9830853563038371,66.19342708587646
6200,8.05919549556596e-06,1.0,0.07906385465301194,0.9835552075176194,68.32410025596619
6400,7.232280944421596e-06,1.0,0.0748249575098978,0.9837118245888802,70.54739904403687
6600,6.495500385203182e-06,1.0,0.07083999550403237,0.9846515270164448,72.76966118812561
6800,5.834925664465318e-06,1.0,0.06711867486324363,0.9854346123727487,74.90127348899841
7000,5.243849314628595e-06,1.0,0.06351826622171988,0.986530931871574,77.12373971939087
7200,4.713422296439498e-06,1.0,0.06016464977347954,0.9873140172278778,79.34561419487
7400,4.2360839918393665e-06,1.0,0.05695859471054495,0.9879404855129209,81.47513818740845
7600,3.8110296319339576e-06,1.0,0.05395399118914395,0.9887235708692248,83.69589734077454
7800,3.425915632701469e-06,1.0,0.05110075044020509,0.9898198903680501,85.9131829738617
8000,3.0821070676186017e-06,1.0,0.04842305286388521,0.9909162098668755,88.03890132904053
8200,2.770304555089756e-06,1.0,0.04586231296498419,0.991229444009397,90.25526118278503
8400,2.4918707586586154e-06,1.0,0.043550710158952066,0.9913860610806577,92.47246551513672
8600,2.241333640197633e-06,1.0,0.041270302648283394,0.9918559122944401,94.59699130058289
8800,2.0145488956256113e-06,1.0,0.039162933805150825,0.9924823805794831,96.81434464454651
