step,train_loss,train_acc,test_loss,test_acc,elapsed_s
1,5.689630737607441,0.004349206349206349,5.697924348249242,0.004380813307514047,0.6910531520843506
200,5.481186239454481,0.007301587301587302,5.627150264657765,0.0006983905272848481,3.2473983764648438
400,5.177664815569681,0.017904761904761906,6.280141603688975,3.174502396749309e-05,5.9117512702941895
600,3.16276308998229,0.42095238095238097,6.808283446520147,0.0006031554553823688,8.478073835372925
800,0.02505213048273609,1.0,0.4481109599388462,0.9509539379702232,11.039490461349487
1000,0.007455948802391215,1.0,0.19364991744218685,0.9890797117551824,13.599056005477905
1200,0.0041536496310007,1.0,0.12069110498142138,0.995555696644551,16.16216278076172
1400,0.0027479341118226922,1.0,0.08560004002024063,0.9979048284181454,18.72727632522583
1600,0.001973272462656337,1.0,0.06432457298346919,0.9986032189454302,21.29498553276062
1800,0.0014891060043333306,1.0,0.050036381916039964,0.9991428843528777,23.8610200881958
2000,0.0011617465670117073,1.0,0.03989720453152917,0.9993650995206501,26.429800033569336
2200,0.0009274719499923762,1.0,0.03218197001732098,0.9996190597123901,28.997268676757812
2400,0.000753770114802238,1.0,0.026359826406609263,0.9998095298561951,31.563355922698975
